show_id,type,title,director,cast,country,release_year,rating,duration,listed_in,language,imdb_score,rotten_tomatoes_score,date_added,budget_millions,views_millions,revenue_millions,user_rating,number_of_reviews,episodes,average_episode_duration,production_house,age_certification,awards_won,awards_nominated,is_netflix_original,popularity_score,trending_rank,content_warning,subtitle_languages,audio_languages,hdr_available,uhd_available,mobile_downloads,offline_viewing
s11,TV Show,Secrets of the Orange is the New Black: Reloaded,Director 2335,"Actor 7180, Actor 8901, Actor 4957",Thailand,1982,TV-MA,3 Seasons,Stand-Up Comedy,German,8.1,95.0,2020-02-22,62.9,515.6,287.1,3.9,27174,8.0,31 min,Production Co. 119,TV-MA,6,70,True,74.3,310.0,Self-Harm,14,22,False,False,False,True
s12,TV Show,Beyond the Narcos: The Final Chapter,Director 30,"Actor 2144, Actor 4292, Actor 2648, Actor 7240, Actor 9039, Actor 7008",Spain,2021,TV-Y7,10 Seasons,Documentaries,Arabic,6.5,55.9,2016-06-29,47.1,860.9,223.1,4.0,19744,26.0,72 min,Production Co. 153,TV-Y7,34,34,False,131.2,76.0,Violence,20,12,True,False,True,True
s13,Stand-up Comedy,The Last Taylor Tomlinson: Quarter-Life Crisis Forever,Director 1267,"Actor 3879, Actor 2663, Actor 2901, Actor 6756, Actor 407, Actor 2939, Actor 5443, Actor 6746, Actor 4066, Actor 4372, Actor 2609, Actor 1772, Actor 6268, Actor 635, Actor 7712",South Africa,2012,R,172 min,"International Movies, Docuseries",Swedish,7.0,26.6,2022-12-17,1.1,162.1,94.7,4.6,91680,,,Production Co. 313,R,14,28,True,40.9,205.0,,5,25,False,False,False,False
s14,TV Show,The Last The Crown: The Final Chapter,Director 4757,"Actor 627, Actor 1777, Actor 9775, Actor 7120, Actor 5664",Nigeria,1987,PG-13,1 Season,"TV Sci-Fi & Fantasy, Medical Dramas, Documentaries",Russian,7.6,85.5,2018-01-01,114.6,908.0,341.2,3.8,100996,22.0,27 min,Production Co. 261,PG-13,2,55,True,102.7,413.0,,48,24,True,False,False,True
s15,TV Show,Legend of Virgin River: The Reckoning,Director 4155,"Actor 6692, Actor 5345, Actor 6593, Actor 4845, Actor 9084",Germany,2012,TV-MA,3 Seasons,"International Movies, TV Mysteries",Arabic,9.2,69.2,2019-05-15,8.0,342.4,261.9,4.4,99410,25.0,62 min,Production Co. 925,TV-MA,11,78,False,80.9,427.0,Nudity,14,14,False,False,False,False
s16,TV Show,Legend of The Umbrella Academy: Origins,Director 695,"Actor 8446, Actor 5492, Actor 1531, Actor 3849, Actor 5086",Thailand,2012,UR,7 Seasons,"International Movies, Faith & Spirituality",Hebrew,6.3,27.9,2023-05-22,67.2,412.9,99.3,5.0,6422,5.0,30 min,Production Co. 487,UR,39,39,False,48.8,323.0,,45,13,False,False,True,True
s17,Stand-up Comedy,Beyond the Taylor Tomlinson: Quarter-Life Crisis 4 Forever,Director 1441,"Actor 8487, Actor 7612, Actor 823, Actor 9133, Actor 4083, Actor 1989, Actor 7479, Actor 2185, Actor 7613, Actor 8703, Actor 9158, Actor 9756, Actor 5199",Australia,1988,TV-Y,98 min,"Medical Dramas, TV Sci-Fi & Fantasy, TV Thrillers, Horror Movies",Arabic,8.1,100.0,2018-06-15,145.9,1589.8,854.5,3.8,124453,,,Production Co. 461,TV-Y,16,31,False,200.3,,,16,9,False,True,False,True
s18,Limited Series,Secrets of the Shadow and Bone Chronicles: The Reckoning,Director 1236,"Actor 6276, Actor 2504, Actor 3506, Actor 1053",Netherlands,2002,TV-MA,2 Seasons,"TV Mysteries, Thrillers, Fantasy Series, Docuseries",Spanish,9.9,48.4,2017-07-20,59.2,549.7,43.5,4.5,109012,5.0,28 min,Production Co. 853,TV-MA,26,49,True,93.0,,Disturbing Images,31,1,False,False,False,False
s19,Movie,Beyond the Society of the Snow: Reloaded,Director 1798,"Actor 7141, Actor 7957, Actor 476, Actor 6372, Actor 5508",Argentina,1987,TV-MA,167 min,"Horror Movies, Docuseries, Dramas, Fantasy Series",Norwegian,5.2,3.3,2021-06-22,18.6,162.8,105.3,4.0,7089,,,Production Co. 929,TV-MA,25,75,True,38.6,220.0,Sexual Content,12,2,False,False,False,True
s20,Movie,Secrets of the The Mother Forever,Director 3454,"Actor 1342, Actor 7706, Actor 318, Actor 8838, Actor 854",Philippines,2016,NC-17,186 min,"Reality TV, Comedies, Children & Family",Malay,5.1,86.5,2019-02-13,61.1,253.0,65.8,5.0,8154,,,Production Co. 973,NC-17,15,25,True,75.2,123.0,,8,19,True,False,False,False
s21,TV Show,Legend of Mindhunter: The Reckoning,Director 2549,"Actor 9482, Actor 421",Ireland,2001,TV-Y7,10 Seasons,"TV Dramas, TV Horror, International Movies",French,8.8,72.4,2017-11-01,2.8,0.1,0.0,4.7,19942,22.0,59 min,Production Co. 851,TV-Y7,40,40,True,60.9,155.0,,52,4,True,False,False,False
s22,Movie,Legend of Roma: A New Beginning,Director 4016,"Actor 7103, Actor 5935",Israel,2012,Unrated,82 min,"Faith & Spirituality, TV Sci-Fi & Fantasy, Independent Movies, Legal Dramas",Korean,5.9,87.2,2020-09-16,5.8,183.5,139.1,5.0,70820,,,Production Co. 631,Unrated,34,61,False,80.8,375.0,Self-Harm,55,8,True,False,False,True
s23,TV Show,Legend of Avatar: The Last Airbender Forever,Director 236,"Actor 5326, Actor 2980, Actor 7989, Actor 3476, Actor 5814, Actor 4233, Actor 5577, Actor 4582",South Africa,1999,TV-MA,3 Seasons,"Action & Adventure, Legal Dramas, International Movies",Polish,5.4,46.4,2019-10-09,98.3,1247.2,360.7,4.0,22462,11.0,61 min,Production Co. 417,TV-MA,31,71,True,122.5,331.0,Sexual Content,51,1,True,False,True,False
s24,Documentary,Secrets of the Icarus Returns,Director 4535,"Actor 5633, Actor 6972, Actor 9018, Actor 5420, Actor 5765, Actor 7435, Actor 4439, Actor 5024, Actor 4119",Nigeria,2020,R,2 Seasons,"Documentaries, International Movies",Hebrew,8.1,80.9,2021-04-22,132.4,1231.9,976.7,4.5,82739,,,Production Co. 123,R,34,34,True,104.6,248.0,,49,17,False,True,True,False
s25,Documentary,Secrets of the Icarus 1: Origins,Director 373,Actor 9067,Egypt,2003,Unrated,2 Seasons,"Dramas, Political Dramas, Cult Movies",Korean,9.3,45.4,2019-01-28,135.9,540.5,390.0,4.9,3235,,,Production Co. 588,Unrated,18,60,False,47.8,95.0,Nudity,56,16,True,True,False,False
s26,Reality Show,Legend of Dark Reality: A New Beginning,Director 1223,"Actor 9222, Actor 4979, Actor 1396, Actor 4067, Actor 1941, Actor 9144, Actor 6819, Actor 9934, Actor 9767, Actor 3698, Actor 8562, Actor 6233, Actor 7382",India,1991,TV-Y7,1 Season,"Stand-Up Comedy, TV Sci-Fi & Fantasy, Classic Movies, Cult Movies",Thai,6.7,92.4,2017-09-13,113.8,708.2,455.9,4.7,54490,24.0,28 min,Production Co. 271,TV-Y7,5,20,True,81.2,39.0,Disturbing Images,29,23,False,False,True,True
s27,Movie,Beyond the Red Notice,Director 1913,"Actor 4335, Actor 9664, Actor 3242, Actor 6966, Actor 1881, Actor 8923, Actor 3684, Actor 2442, Actor 4353, Actor 2331, Actor 1170, Actor 978, Actor 2719, Actor 5040, Actor 9750",Italy,2018,UR,134 min,"TV Thrillers, Documentaries, Docuseries",Korean,7.6,75.7,2016-10-18,35.8,310.9,34.5,4.8,79735,,,Production Co. 717,UR,25,34,False,95.0,307.0,Disturbing Images,48,11,False,True,True,True
s28,Movie,Bird Box: The Final Chapter,Director 330,"Actor 2871, Actor 7709, Actor 8503, Actor 7246, Actor 4558, Actor 2974, Actor 9591, Actor 7142, Actor 8057, Actor 1495, Actor 7701, Actor 5701, Actor 6691",Colombia,1980,R,130 min,"Teen TV Shows, Cult Movies, Horror Movies",Russian,5.2,59.5,2022-06-18,272.1,951.5,55.7,2.6,86476,,,Production Co. 422,R,31,36,False,72.0,,Sexual Content,6,11,False,False,True,False
s29,Movie,Lift,Director 445,"Actor 8495, Actor 5928, Actor 8168, Actor 7243",Nigeria,2020,G,151 min,LGBTQ Movies,French,6.3,66.3,2020-08-19,100.4,624.7,65.8,3.8,70027,,,Production Co. 563,G,8,36,False,113.6,,Violence,41,20,True,True,False,True
s30,TV Show,The Last The Night Agent: The Reckoning,Director 963,"Actor 2523, Actor 8166, Actor 4782, Actor 8338, Actor 4480, Actor 6808, Actor 7906, Actor 7737, Actor 3994, Actor 7484, Actor 9032",Sweden,2020,Unrated,1 Season,"TV Dramas, International Movies",Mandarin,8.7,56.9,2021-03-05,162.2,530.8,273.4,5.0,133252,8.0,70 min,Production Co. 72,Unrated,17,53,False,56.8,,,1,10,False,False,True,False
s31,Movie,Return of Society of the Snow Forever,Director 2637,"Actor 3091, Actor 3913, Actor 9369, Actor 6275, Actor 3827, Actor 6731, Actor 716, Actor 5214, Actor 7750, Actor 6247, Actor 6326, Actor 2493, Actor 8116, Actor 607",Belgium,2007,NC-17,214 min,"Medical Dramas, Thrillers",Italian,7.1,23.0,2021-02-08,108.7,871.3,653.1,5.0,26329,,,Production Co. 896,NC-17,28,28,False,98.5,74.0,,10,3,False,False,False,False
s32,Movie,The Platform Forever,Director 3998,"Actor 8865, Actor 589, Actor 1122, Actor 3847, Actor 4709, Actor 3728, Actor 1481, Actor 7111, Actor 1613, Actor 1647, Actor 7270, Actor 2726, Actor 4907, Actor 475",Colombia,2012,G,70 min,Teen TV Shows,Polish,3.4,15.4,2019-07-21,339.5,1956.5,180.5,3.1,14731,,,Production Co. 301,G,22,47,False,221.0,272.0,,51,6,True,True,True,False
s33,Animated Series,Return of Bridgerton Animated: Origins,Director 3778,"Actor 4162, Actor 7530, Actor 4184, Actor 154, Actor 7623, Actor 4713, Actor 8956, Actor 2589, Actor 1211, Actor 7238, Actor 5662",Spain,2017,NC-17,1 Season,"TV Sci-Fi & Fantasy, Romantic Movies, Docuseries",Malay,8.2,35.6,2018-08-09,68.1,372.1,263.7,3.0,79219,10.0,39 min,Production Co. 874,NC-17,30,30,True,51.8,184.0,,19,1,False,False,True,True
s34,Movie,Damsel: The Final Chapter,Director 4974,"Actor 5773, Actor 3589, Actor 3116, Actor 4107, Actor 2241, Actor 1592, Actor 646, Actor 5062, Actor 7223, Actor 547, Actor 9496, Actor 5978, Actor 2154",Philippines,2018,TV-PG,177 min,Sports Movies,Spanish,5.6,44.2,2018-07-31,285.8,1751.3,639.9,5.0,85667,,,Production Co. 766,TV-PG,26,26,True,198.8,277.0,Self-Harm,34,17,False,True,False,False
s35,Documentary,Beyond the RBG: The Reckoning,Director 617,"Actor 3697, Actor 6512, Actor 9132",South Korea,2018,TV-MA,2 Seasons,"Crime TV Shows, TV Horror, Action & Adventure",Spanish,9.4,84.2,2021-04-02,100.0,602.0,164.6,3.7,69346,,,Production Co. 550,TV-MA,7,58,False,121.2,345.0,Disturbing Images,53,21,False,True,True,False
s36,Documentary,Legend of Our Planet Returns,Director 1814,"Actor 1036, Actor 7607, Actor 4952, Actor 6690, Actor 1912, Actor 2291, Actor 743, Actor 610, Actor 4987, Actor 8072, Actor 1903",South Africa,1989,G,1 Season,Music & Musicals,Dutch,6.0,56.6,2022-11-03,176.4,847.6,124.3,3.7,140934,,,Production Co. 139,G,24,58,False,41.5,381.0,Smoking,27,19,True,False,True,False
s37,Movie,Secrets of the The School for Good and Evil 12: Reloaded,Director 3643,"Actor 5943, Actor 1628, Actor 6019, Actor 8921",France,1987,TV-Y7-FV,84 min,"Classic Movies, TV Horror, Sci-Fi & Fantasy",German,6.4,45.2,2020-12-21,233.8,398.5,72.8,2.8,49777,,,Production Co. 992,TV-Y7-FV,7,58,True,36.1,329.0,Violence,4,26,False,True,True,True
s38,Movie,Roma: Reloaded,Director 1770,"Actor 3818, Actor 5384, Actor 2418, Actor 9765, Actor 47, Actor 4543, Actor 2371, Actor 2130, Actor 8851, Actor 4107, Actor 2859, Actor 1802, Actor 423, Actor 2160",Italy,2005,PG,137 min,TV Action & Adventure,Russian,4.3,49.4,2022-07-29,32.8,70.6,3.7,2.5,62392,,,Production Co. 603,PG,20,20,True,20.0,65.0,Smoking,8,24,True,False,False,False
s39,TV Show,Return of Black Mirror: A New Beginning,Director 4272,"Actor 7505, Actor 511, Actor 997, Actor 7848, Actor 6581",Netherlands,1994,UR,6 Seasons,"Cult Movies, Political Dramas, TV Thrillers, Comedies",Vietnamese,7.9,71.2,2023-05-22,95.7,668.1,456.6,2.9,21198,14.0,53 min,Production Co. 152,UR,4,16,False,73.2,300.0,Self-Harm,25,20,False,False,False,True
s40,Stand-up Comedy,Hannah Gadsby: Nanette: Reloaded,Director 3700,"Actor 3744, Actor 6780, Actor 5554, Actor 7431, Actor 6533, Actor 6816, Actor 1558, Actor 5121, Actor 6993, Actor 5121, Actor 4177, Actor 6133, Actor 2501, Actor 7771, Actor 1100",Spain,2017,PG-13,178 min,Crime TV Shows,Mandarin,6.2,66.1,2020-10-27,58.1,251.5,140.7,4.9,24459,,,Production Co. 443,PG-13,6,47,True,65.9,301.0,Smoking,22,22,True,False,False,False
s41,Movie,Secrets of the The Irishman Returns,Director 4735,"Actor 3486, Actor 2536, Actor 7901, Actor 3675, Actor 1774, Actor 5737, Actor 9114, Actor 6023, Actor 1883",United Kingdom,2001,UR,172 min,"Reality TV, TV Sci-Fi & Fantasy, Anime",Portuguese,2.9,1.8,2017-02-28,118.4,819.3,614.7,3.8,70129,,,Production Co. 30,UR,11,34,False,19.6,,Adult Content,56,5,False,True,True,True
s42,Movie,Beyond the The Platform Forever,Director 3717,"Actor 2579, Actor 6063, Actor 5106, Actor 5315, Actor 9300, Actor 9769",Israel,1983,TV-14,114 min,Classic Movies,Vietnamese,7.9,75.9,2020-09-15,2.4,199.6,90.1,4.8,40804,,,Production Co. 162,TV-14,39,39,True,92.2,339.0,,29,14,False,True,True,False
s43,Movie,The Last Enola Holmes 2,Director 2527,Actor 3613,Colombia,2005,R,79 min,"Classic Movies, Action & Adventure, LGBTQ Movies, Stand-Up Comedy",Danish,5.7,100.0,2021-11-28,213.9,467.8,41.6,1.9,55393,,,Production Co. 786,R,8,32,False,45.7,4.0,Disturbing Images,12,5,False,True,False,True
s44,Movie,Blonde Forever,Director 3767,"Actor 1276, Actor 5130, Actor 9434, Actor 7034, Actor 9395, Actor 6627, Actor 6844, Actor 4744, Actor 1888, Actor 6637, Actor 342, Actor 5322, Actor 2816, Actor 7539, Actor 5929",United Kingdom,2023,NR,189 min,TV Sci-Fi & Fantasy,Portuguese,10.0,79.2,2016-03-17,278.1,467.0,370.4,3.6,27771,,,Production Co. 250,NR,27,75,False,81.8,203.0,,22,8,False,True,True,True
s45,Reality Show,Sex Education Reality: Origins,Director 843,"Actor 4194, Actor 3233, Actor 2843",Belgium,2001,NR,1 Season,"Comedies, Independent Movies",Portuguese,5.4,0.0,2018-08-25,29.6,381.0,269.7,4.2,129549,18.0,63 min,Production Co. 578,NR,37,57,False,71.9,,Adult Content,29,3,False,False,False,False
s46,Movie,Secrets of the The Irishman: The Final Chapter,Director 3703,Actor 933,China,1993,PG-13,156 min,"Sports Movies, Comedies, Crime TV Shows",Japanese,6.5,66.6,2021-03-06,81.7,702.3,96.7,4.7,132944,,,Production Co. 394,PG-13,29,74,True,124.2,415.0,Drug Use,21,20,False,True,True,False
s47,Movie,Project Power Returns,Director 4134,"Actor 2828, Actor 642, Actor 4060, Actor 7173, Actor 7200, Actor 8587, Actor 8565, Actor 9992, Actor 2601, Actor 5963, Actor 6109",Netherlands,1994,NR,214 min,"TV Dramas, TV Mysteries, Thrillers",English,5.6,100.0,2016-12-11,109.4,358.4,253.6,4.3,13747,,,Production Co. 809,NR,40,42,True,75.4,286.0,Nudity,17,24,True,False,True,True
s48,Movie,Secrets of the Glass Onion Forever,Director 4875,"Actor 1389, Actor 5073, Actor 9158, Actor 6172, Actor 5382, Actor 2094, Actor 8625, Actor 1532, Actor 6938, Actor 8332, Actor 5929, Actor 299",Mexico,2015,TV-Y7-FV,74 min,"Stand-Up Comedy, Independent Movies, LGBTQ Movies",Finnish,5.7,71.6,2017-06-12,80.6,523.5,125.0,5.0,89603,,,Production Co. 971,TV-Y7-FV,31,31,True,44.2,,Nudity,55,26,True,True,False,True
s49,Reality Show,Chronicles of The Diplomat Reality 20: Origins,Director 358,"Actor 5969, Actor 3892, Actor 7278, Actor 4669, Actor 7356, Actor 3834, Actor 8750",South Korea,2017,TV-Y7-FV,1 Season,"Stand-Up Comedy, Historical Dramas",Malay,8.0,78.0,2020-11-27,164.2,192.9,24.4,5.0,50880,15.0,58 min,Production Co. 970,TV-Y7-FV,36,56,False,104.8,,Smoking,34,14,True,True,True,False
s50,Movie,Beyond the The Irishman Returns,Director 841,"Actor 8453, Actor 2043, Actor 4671, Actor 1375, Actor 2627, Actor 4470, Actor 7362, Actor 8411, Actor 2415, Actor 7168, Actor 1503, Actor 3638",Sweden,2021,TV-MA,110 min,"TV Action & Adventure, Anime, TV Mysteries, Classic Movies",Italian,6.8,100.0,2022-03-21,324.0,968.7,338.3,4.4,103948,,,Production Co. 515,TV-MA,23,30,False,59.0,,Violence,21,30,True,False,True,True
s51,Documentary,Secrets of the Tiger King,Director 1137,"Actor 7686, Actor 7350, Actor 87, Actor 1299, Actor 312, Actor 4194, Actor 3534, Actor 2450, Actor 8992, Actor 9976, Actor 8648, Actor 6935, Actor 1822",India,2005,PG-13,1 Season,"Music & Musicals, Stand-Up Comedy, Documentaries",Finnish,3.7,73.2,2023-10-22,165.3,623.0,108.5,2.0,12537,,,Production Co. 245,PG-13,26,79,False,29.9,429.0,,35,1,True,True,False,False
s52,Documentary,Legend of Our Planet Forever,Director 702,"Actor 5909, Actor 1109, Actor 8619, Actor 8915, Actor 8313, Actor 8317, Actor 9080, Actor 334, Actor 6398",Colombia,2022,TV-PG,1 Season,"Children & Family, TV Dramas, TV Comedies, Romantic Movies",Polish,7.3,43.8,2018-02-06,82.7,813.2,229.7,2.7,4277,,,Production Co. 366,TV-PG,4,44,True,82.7,,,38,24,False,True,True,False
s53,Documentary,Crip Camp,Director 3921,"Actor 2987, Actor 2210, Actor 1034, Actor 7499, Actor 606, Actor 4808, Actor 3303, Actor 718, Actor 3269, Actor 687, Actor 5171",Israel,2011,NR,1 Season,"Medical Dramas, TV Horror, Fantasy Series",Russian,8.5,17.0,2023-10-19,105.8,616.0,260.4,5.0,124118,,,Production Co. 260,NR,2,24,False,78.2,400.0,,22,9,True,False,False,False
s54,Movie,Return of All Quiet on the Western Front: Origins,Director 4076,"Actor 8508, Actor 4370, Actor 1354, Actor 6956, Actor 1294, Actor 7056",Spain,2018,TV-PG,169 min,"Fantasy Series, Sports Movies",Dutch,9.0,14.6,2021-07-25,342.6,1989.2,392.0,4.2,84223,,,Production Co. 106,TV-PG,5,41,False,190.6,309.0,Adult Content,45,15,False,False,True,False
s55,Movie,Secrets of the Enola Holmes 2: A New Beginning,Director 3328,"Actor 8407, Actor 2622, Actor 511, Actor 2340, Actor 9955, Actor 7180",Spain,2016,PG-13,151 min,Dramas,English,5.9,100.0,2016-11-03,85.5,515.7,105.1,2.6,17644,,,Production Co. 242,PG-13,23,46,False,84.1,,Adult Content,44,15,False,False,False,True
s56,Movie,Legend of Enola Holmes Returns,Director 2284,"Actor 1859, Actor 425, Actor 3049, Actor 8177",United States,1986,TV-Y7,206 min,"Documentaries, Romantic Movies, TV Thrillers, LGBTQ Movies",Hebrew,9.0,50.8,2023-04-14,318.8,1495.3,1006.3,3.7,74882,,,Production Co. 711,TV-Y7,31,31,True,155.8,38.0,,29,3,False,False,True,False
s57,Movie,Don't Look Up 6 Returns,Director 1837,"Actor 3293, Actor 2276",Spain,2023,R,167 min,"Political Dramas, Anime",Indonesian,8.2,100.0,2021-09-14,280.0,771.4,187.8,4.6,94626,,,Production Co. 568,R,36,47,False,110.8,,,57,3,True,False,False,False
s58,Animated Series,The Night Agent Animated: The Reckoning,Director 2598,"Actor 1216, Actor 7373, Actor 7633, Actor 8477, Actor 5645, Actor 2103, Actor 9033, Actor 9631, Actor 2982, Actor 2115, Actor 7089",Mexico,2008,PG,1 Season,Documentaries,Malay,6.9,67.2,2017-05-28,49.5,448.8,224.6,5.0,135837,8.0,34 min,Production Co. 169,PG,10,41,True,58.2,482.0,Nudity,55,3,False,True,False,True
s59,Reality Show,Legend of Lupin Reality: Origins,Director 4757,"Actor 2805, Actor 9915, Actor 5532",Argentina,2005,TV-MA,2 Seasons,Anime,Thai,7.2,53.7,2022-08-21,33.3,307.8,226.7,5.0,21312,5.0,75 min,Production Co. 657,TV-MA,36,36,True,82.1,,,2,16,False,False,False,True
s60,Reality Show,Secrets of the Wednesday Reality: A New Beginning,Director 3602,"Actor 7934, Actor 7610, Actor 3343, Actor 5574, Actor 9940, Actor 2354, Actor 5122",Colombia,2003,TV-Y,2 Seasons,"TV Action & Adventure, TV Horror, Dramas",Korean,7.6,50.1,2017-10-09,9.4,139.2,14.8,4.1,97154,20.0,50 min,Production Co. 109,TV-Y,20,30,False,63.5,231.0,Language,4,10,False,False,True,True
s61,TV Show,Legend of Emily in Paris: Reloaded,Director 4082,"Actor 7649, Actor 8172, Actor 5056, Actor 8149, Actor 380, Actor 1476, Actor 6443, Actor 8282, Actor 7492",Indonesia,2021,TV-Y7,3 Seasons,"LGBTQ Movies, TV Action & Adventure",French,5.9,35.7,2017-10-14,145.4,1610.0,1237.5,3.9,12775,5.0,33 min,Production Co. 507,TV-Y7,38,60,False,179.6,434.0,Adult Content,57,9,False,False,False,True
s62,Documentary,The Last Seaspiracy: Reloaded,Director 4533,"Actor 1205, Actor 6330, Actor 8262, Actor 7379, Actor 9009",Colombia,2016,TV-Y,1 Season,"Documentaries, Dramas, Cult Movies",Portuguese,7.0,25.0,2020-01-24,124.8,416.3,118.5,5.0,103279,,,Production Co. 383,TV-Y,21,71,False,76.6,,Smoking,26,17,True,True,True,True
s63,Movie,The Gray Man,Director 4967,"Actor 8447, Actor 2291, Actor 5374, Actor 5219, Actor 2663, Actor 6439, Actor 4903, Actor 9728, Actor 5512, Actor 8312, Actor 8352, Actor 8722, Actor 8026, Actor 9223, Actor 4912",Norway,1987,TV-14,141 min,"Anime, TV Comedies, Thrillers, Documentaries",Malay,8.9,88.5,2017-09-02,225.8,779.9,349.2,3.7,109213,,,Production Co. 598,TV-14,19,80,True,100.2,136.0,,50,19,True,True,False,True
s64,TV Show,Chronicles of The Diplomat: Reloaded,Director 4691,"Actor 1801, Actor 3126, Actor 311, Actor 7226, Actor 5140, Actor 6862, Actor 2482, Actor 6766, Actor 3341, Actor 6724, Actor 8222, Actor 7727",Ireland,1983,TV-Y,2 Seasons,Dramas,Tagalog,1.7,77.9,2016-05-09,157.8,712.4,73.0,3.6,135989,10.0,50 min,Production Co. 333,TV-Y,30,67,False,13.7,89.0,Smoking,22,18,False,False,False,True
s65,Movie,Secrets of the I Care a Lot: Reloaded,Director 2368,"Actor 3397, Actor 8012, Actor 5195, Actor 7862, Actor 5715, Actor 9184, Actor 4481, Actor 4716, Actor 1997, Actor 9396, Actor 8900, Actor 6221",Indonesia,2023,TV-Y7-FV,180 min,"TV Action & Adventure, Faith & Spirituality, Sports Movies, Children & Family",Norwegian,5.7,22.4,2019-05-04,147.8,848.7,231.0,2.7,75420,,,Production Co. 979,TV-Y7-FV,5,44,False,41.7,383.0,Drug Use,53,18,False,False,True,True
